Income,Debt,Net_Worth
23463.404498842956,-9102.381940691495,27647.430840633773
150506.07154587604,-8509.856888871818,145128.059395654
65837.28467727247,-71015.17422648928,-11242.923431374205
45647.127688797664,-8612.315656908198,41593.85398359649
8481.243523117315,-9521.555269625844,-5631.214848698446
8479.814595730259,-42738.36760791483,-41204.55670381601
2991.9384304340338,-17920.92296595171,-26472.611217847523
100561.54322399698,-44978.59194775379,38064.663208726
45954.107681363224,-2028.0131628577549,40026.85745291101
61562.50308522952,-20057.8047631121,43085.23322131873
1039.9653999569312,-1025.745748138495,-952.0170483304611
175177.8737579156,-1941.0585453189576,169077.14593312307
89321.47716773376,-71073.75354436452,8790.263016401426
11934.38126244735,-4498.373971393351,13518.469207903685
10033.949437483168,-22805.588431866297,-25942.95819384898
10130.571141612852,-15884.74265755684,2006.1076224907656
18137.686473023856,-12801.121667836096,-4685.605384079488
37196.39154304272,-69027.59811026481,-39355.55894075244
28276.853339016834,-661.9514806500458,12947.04995221002
17211.149627697076,-32700.551424980687,-20503.42326613998
47318.54369498994,-99226.64938405101,-42154.98110428128
7511.726436366934,-24640.885808425563,-11972.878487619062
17275.775600120112,-82854.19358757357,-55794.19686717311
22813.860911042353,-1610.1851488747216,26425.101221506986
30446.73439298875,-16279.465568918882,3130.5705387661765
76896.8005515456,-9039.550396520663,64549.35791174937
11136.793106434514,-39371.35689219421,-36036.555076934324
36101.45775165639,-119372.28536525047,-69965.07857320367
44875.236065488025,-8892.808427509543,24014.54117371537
2378.1924878204272,-31854.637794900947,-20539.46841318941
46766.651032480506,-6623.05245402839,49073.13727953981
9348.062598870822,-24995.06226443875,2649.2023515929413
3363.196543965212,-18704.855045169657,-19438.52442749942
148684.38967534655,-107272.23392724346,48535.377343904715
168531.5171230586,-28135.182841132002,163212.85264731504
82616.57864064383,-12900.713302587317,63539.44856871954
18164.392998437914,-3634.393307268605,-820.4027841542884
5138.865750125312,-4919.605911643089,-18580.840500595412
57637.538154933085,-7659.038254226469,57105.620189319925
29004.542129269917,-8669.153566841094,1503.8864818429865
6507.611697722432,-57037.064827893315,-54252.643659550115
34177.36140670751,-24712.904553503835,13837.588723593282
1749.6860721739542,-22231.759343563303,-18630.317903090207
120021.14436965119,-3657.1951902389374,120618.39782125397
14972.888842034305,-59013.33492465262,-41817.54752460977
54312.78992824902,-38492.02835621582,28609.41970516713
18677.329082881184,-2102.000781585489,7052.164493907727
36705.54479546143,-36913.10701807363,-6977.513607197513
39561.18989908988,-23527.509018521516,8307.086427860122
10219.429975395287,-2557.7623640900483,15963.58572993134
174640.3566368113,-18391.323618201073,165253.01890256087
74612.26885690705,-19889.96455244805,59234.55749764408
140254.72096457912,-5437.547328654494,146652.1103048239
112607.59987670984,-87395.90782198487,13431.283380961155
45552.72061916375,-56908.674247040544,5316.287487634578
127471.76896347025,-33171.13170780654,109533.0234727863
4632.7729476557815,-18613.38719006657,-6624.39426995332
10906.734731563372,-15918.890152705322,12805.833666568651
2314.0982843415977,-31578.220029421755,-45830.35382185789
19676.604340154343,-23652.224229113774,-9220.10125158595
24606.51458971093,-1928.8959008137967,15324.584082077608
15828.022160441285,-21554.112658021062,1488.702739993656
88227.8932620467,-49259.393651043974,28467.092214981265
22061.349976493508,-18443.3848539669,11192.91661590146
16490.14200671246,-1600.64920525348,28594.854241426117
39120.3541603873,-46292.40320433711,-220.02004310981647
7594.907391031443,-6745.49201057622,3686.925617070234
81024.17978873657,-8977.292722451108,62168.15365727797
3873.7934405654505,-5399.158302522049,-9993.874523210245
216707.31697936598,-12023.958314151427,217179.54771818122
73974.18881207558,-42410.15243449548,39357.52641663342
11076.972025294297,-21980.716005721286,-11293.93917420243
276.87101879677374,-6877.915043612653,-10780.139482474784
84494.8388743063,-63070.27203796463,1166.4881052279015
61354.795369352236,-63503.55153239503,-12857.280349887184
65283.145439399945,-61340.4054030731,23056.93090772408
73760.72630217567,-8185.624992207623,52770.545599943376
3846.4632756898177,-18002.78689296879,-12261.525405068167
22194.633620811623,-125970.47174789853,-93701.39839513492
6157.505230222483,-44353.93116548336,-50745.652615283805
99426.47858291114,-826.2983591064457,100447.28497161553
48815.05958561871,-2022.8276345733154,56171.38732615194
20090.94006256505,-18704.792933131885,1511.1403485056674
3283.4032902391446,-71979.55648961042,-40012.12264270359
18624.417520517687,-23211.317580117615,-21272.89264838188
19665.71065920657,-20663.45217146676,9589.543786578597
65393.78919788704,-3343.829235498133,60321.94258842427
50744.467946300996,-32081.51829392887,26382.151200738874
109112.59562007574,-51796.543518905986,61729.12361816221
31953.30666881549,-14361.403859015527,10260.340838699996
6368.619680775095,-44831.33755015115,-36172.75394478265
62456.31721582997,-100126.95486156295,-56249.65215971584
71519.63765384321,-6835.882293402393,70716.23036615475
41194.37474429144,-22227.90233106407,21948.057073132626
73694.49833606822,-10154.021006671617,69927.07901582764
34040.736575513896,-47230.00329652422,-2608.083470138823
36983.941938863354,-25853.605228189346,14806.535112771116
27890.709695421367,-30201.435534998276,-829.8316415941476
1287.3886995056864,-47971.88158353199,-55495.176250639226
5708.371759593292,-15123.96587765341,-16537.80175455063
1596.6840646526912,-73984.92637838896,-60520.89611196295
50586.47754637747,-22844.635123661436,42105.19647977582
18869.835439754992,-5157.648347679551,11331.0827289549
35521.85885670951,-35711.87353489164,270.0127943506099
119063.27649229877,-47288.995377718646,62728.13736464246
14336.941149164917,-11427.34634387131,14637.163257968055
